codigo_unidad;nombre_unidad;codigo_organismo;nombre_organismo;region;comuna;oc_convenio_marco
717503;Asociación Chilena de Municipalidades;1317359;Asociación Chilena de Municipalidades;Región Metropolitana de Santiago;Santiago;1
720;SAG - Arica y Parinacota;6919;SERVICIO AGRICOLA Y GANADERO;Región de Arica y Parinacota;Arica;3
721;CAPREDENA;7175;CAJA DE PREVISION DE LA DEFENSA NACIONAL;Región Metropolitana de Santiago;Santiago;1
721703;Nivel Central;1317960;AGENCIA DE CALIDAD DE LA EDUCACION;Región Metropolitana de Santiago;Santiago Centro;23
722;Gobierno Regional de La Araucanía;7013;GOBIERNO REGIONAL DE LA ARAUCANIA;Región de la Araucanía;Temuco;5
722640;DEPTO SALUD;1053458;I MUNICIPALIDAD DE COLCHANE;Región de Tarapacá;Colchane;1
723;Dirección Regional de Aysen del Gral Carlos Ibañez;6950;SERVICIO DE COOPERACION TECNICA;Región Aysén del General Carlos Ibáñez del Campo;Coyhaique;1
725;JUNTA DE AERONAUTICA CIVIL;7014;JUNTA DE AERONAUTICA CIVIL;Región Metropolitana de Santiago;Santiago;1
727865;"Jef Adm y Logística - Campo Militar ""La Reina""";111870;DIVISION LOGISTICA DEL EJERCITO;Región Metropolitana de Santiago;La Reina;1
728;Instituto Nacional de Hidráulicas - INH;7176;INSTITUTO NACIONAL DE HIDRAULICA;Región Metropolitana de Santiago;Peñaflor;2
729587;Jdo de Garantia de San Pedro de la Paz;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región del Biobío;San Pedro de La Paz;1
730566;Subsecretaría de Evaluación Social;1329930;SUBSECRETARIA DE EVALUACION SOCIAL;Región Metropolitana de Santiago;Santiago;11
732;SUBSECRETARIA DEL MINISTERIO DE MINERIA;7018;SUBSECRETARIA DEL MINISTERIO DE MINERIA;;;10
732434;Centro de Sangre;7205;SERVICIO DE SALUD CONCEPCION;;;3
732476;TOP de San Bernardo;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región Metropolitana de Santiago;San Bernardo;1
734;DIRECCION;7206;SERVICIO DE SALUD AYSEN CARLOS IBANEZ DEL CAMPO;Región Aysén del General Carlos Ibáñez del Campo;Coyhaique;12
739;Unidad de Compra – Región de Valparaíso;6937;INSTITUTO DE DESARROLLO AGROPECUARIO;Región de Valparaíso;Quillota;2
740;Unidad de Compra – Región del Maule;6937;INSTITUTO DE DESARROLLO AGROPECUARIO;Región del Maule;Talca;1
741;Unidad de Compra – Región de la Araucanía;6937;INSTITUTO DE DESARROLLO AGROPECUARIO;Región de la Araucanía;Temuco;2
741422;Jdo de Familia de Coyhaique;7342;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Región Aysén del General Carlos Ibáñez del Campo;Coyhaique;2
742246;AGS 61 CABO DE HORNOS;111875;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;Región de Valparaíso;Valparaíso;2
743;Unidad de Compra – Región Metropolitana;6937;INSTITUTO DE DESARROLLO AGROPECUARIO;Región Metropolitana de Santiago;Santiago;1
744835;Departamento de Adquisiciones;86518;I MUNICIPALIDAD DE LO ESPEJO;Región Metropolitana de Santiago;Lo Espejo;14
745;INE -  VI Región;6931;INSTITUTO NACIONAL DE ESTADISTICAS;Región del Libertador General Bernardo O´Higgins;Rancagua;2
745463;SENDA- CAPACITACIONES;1264424;SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE D;Región Metropolitana de Santiago;Santiago Centro;2
748;INE -  IX Región;6931;INSTITUTO NACIONAL DE ESTADISTICAS;Región de la Araucanía;Temuco;4
748201;Unidad de Compras Farmacia;7175;CAJA DE PREVISION DE LA DEFENSA NACIONAL;Región Metropolitana de Santiago;Santiago;3
749;INE -   XI Región;6931;INSTITUTO NACIONAL DE ESTADISTICAS;Región Aysén del General Carlos Ibáñez del Campo;Coyhaique;1
